# File: Scout_bld_calibration.csv
# Title: Buildings sector calibration from Scout model
# Units: unitless shares
# Comments: Scout output data processed to compute shares of service/technology within state/sector/fuel
# Source:  LBNL team (Aven Satre-Meloy) provided for DECARB project
# Column types: cccccin
# ----------
state,sector,fuel,service,technology,year,share
Colorado,resid,gas,other,gas,2015,0.03741124117877071
Colorado,resid,refined liquids,heating,fuel furnace,2015,0.6776638333708546
Colorado,resid,refined liquids,hot water,fuel water heater,2015,0.17437153434180078
Colorado,resid,refined liquids,other,refined liquids,2015,0.12472125070201028
Colorado,resid,refined liquids,cooking,lpg oven,2015,0.023243381585334438
Colorado,resid,biomass,heating,wood furnace,2015,1
Colorado,comm,electricity,heating,electric heat pump,2015,0.030588982903215683
Colorado,comm,electricity,heating,electric furnace,2015,0.029924287196419482
Colorado,comm,electricity,cooling,air conditioning,2015,0.19970571156298017
Colorado,comm,electricity,hot water,electric heat pump water heater,2015,7.576709930044018e-5
Colorado,comm,electricity,hot water,electric resistance water heater,2015,0.0037255118667886117
Colorado,comm,electricity,ventilation,ventilation,2015,0.13104570731564655
Colorado,comm,electricity,cooking,electric range,2015,0.02772837796127812
Colorado,comm,electricity,lighting,incandescent,2015,0.011906459290363998
Colorado,comm,electricity,lighting,fluorescent,2015,0.10762470578424241
Colorado,comm,electricity,lighting,solid state,2015,0.012718370031764747
Colorado,comm,electricity,refrigeration,refrigeration,2015,0.13803566783643184
Colorado,comm,electricity,office,office equipment,2015,0.16791691313944518
Colorado,comm,electricity,other,electricity,2015,0.13900353801212273
Colorado,comm,gas,heating,gas furnace,2015,0.7882759732630638
Colorado,comm,gas,cooling,gas cooling,2015,0.0034505563786223913
Colorado,comm,gas,hot water,gas water heater,2015,0.16114189991533864
Colorado,comm,gas,cooking,gas range,2015,0.047131570442975085
Colorado,comm,refined liquids,heating,fuel furnace,2015,0.9986327248144075
Colorado,comm,refined liquids,hot water,fuel water heater,2015,0.0013672751855924752
Connecticut,resid,electricity,heating,electric furnace,2015,0.051188382973873923
Connecticut,resid,electricity,heating,electric heat pump,2015,0.005420464139064284
Connecticut,resid,electricity,cooling,air conditioning,2015,0.1104940290689659
Connecticut,resid,electricity,furnace fans,electricity,2015,0.028971345432262624
Connecticut,resid,electricity,other,electricity,2015,0.38434012788955296
Connecticut,resid,electricity,lighting,fluorescent,2015,0.021039662340461125
Connecticut,resid,electricity,lighting,solid state,2015,0.0016283191716339328
Connecticut,resid,electricity,lighting,incandescent,2015,0.094101541593267
Connecticut,resid,electricity,hot water,electric resistance water heater,2015,0.11008472764770215
Connecticut,resid,electricity,refrigerators,refrigerator,2015,0.07244081105053196
Connecticut,resid,electricity,cooking,electric oven,2015,0.01516629796755599
Connecticut,resid,electricity,clothes dryers,clothes dryer,2015,0.04530691535569619
Connecticut,resid,electricity,computers,electricity,2015,0.031146036633684496
Connecticut,resid,electricity,clothes washers,clothes washer,2015,0.008510959654248298
Connecticut,resid,electricity,dishwashers,dishwasher,2015,0.005757559860791157
Connecticut,resid,electricity,freezers,freezer,2015,0.014402819220708086
Connecticut,resid,gas,heating,gas furnace,2015,0.8625986444221538
Connecticut,resid,gas,hot water,gas water heater,2015,0.11229595635065717
Connecticut,resid,gas,cooking,gas oven,2015,0.010756033528997526
Connecticut,resid,gas,clothes dryers,clothes dryer,2015,0.003178109138698218
Connecticut,resid,gas,other,gas,2015,0.011171256559493189
Connecticut,resid,refined liquids,heating,fuel furnace,2015,0.916396183490323
Connecticut,resid,refined liquids,hot water,fuel water heater,2015,0.06463696550412922
Connecticut,resid,refined liquids,other,refined liquids,2015,0.01276168578658568
Connecticut,resid,refined liquids,cooking,lpg oven,2015,0.006205165218962036
Connecticut,resid,biomass,heating,wood furnace,2015,1
Connecticut,comm,electricity,heating,electric heat pump,2015,0.03396153461378125
Connecticut,comm,electricity,heating,electric furnace,2015,0.030109036473559794
Connecticut,comm,electricity,cooling,air conditioning,2015,0.13846645142714856
Connecticut,comm,electricity,hot water,electric heat pump water heater,2015,2.2359090535279536e-4
Connecticut,comm,electricity,hot water,electric resistance water heater,2015,0.007390731447132958
Connecticut,comm,electricity,ventilation,ventilation,2015,0.1112340535203851
Connecticut,comm,electricity,cooking,electric range,2015,0.017092966567380106
Connecticut,comm,electricity,lighting,incandescent,2015,0.009656608463220017
Connecticut,comm,electricity,lighting,fluorescent,2015,0.10343611840904807
Connecticut,comm,electricity,lighting,solid state,2015,0.014642065334602834
Connecticut,comm,electricity,refrigeration,refrigeration,2015,0.2073971046044769
Connecticut,comm,electricity,office,office equipment,2015,0.15703716105763846
Connecticut,comm,electricity,other,electricity,2015,0.1693525771762732
Connecticut,comm,gas,heating,gas furnace,2015,0.8660222316116891
Connecticut,comm,gas,cooling,gas cooling,2015,0.0056114257335707195
Connecticut,comm,gas,hot water,gas water heater,2015,0.0655061881995785
Connecticut,comm,gas,cooking,gas range,2015,0.06286015445516163
Connecticut,comm,refined liquids,heating,fuel furnace,2015,0.9919250261760595
Connecticut,comm,refined liquids,hot water,fuel water heater,2015,0.008074973823940472
Delaware,resid,electricity,heating,electric furnace,2015,0.09175733096534838
Delaware,resid,electricity,heating,electric heat pump,2015,0.05541518750983971
Delaware,resid,electricity,cooling,air conditioning,2015,0.2344815805322598
Delaware,resid,electricity,furnace fans,electricity,2015,0.02135096512791867
Delaware,resid,electricity,other,electricity,2015,0.2555390842619099
Delaware,resid,electricity,lighting,fluorescent,2015,0.01558928142937758
Delaware,resid,electricity,lighting,solid state,2015,0.0012063724853666313
Delaware,resid,electricity,lighting,incandescent,2015,0.06971667589721631
Delaware,resid,electricity,hot water,electric resistance water heater,2015,0.10356901135940949
Delaware,resid,electricity,refrigerators,refrigerator,2015,0.058933796211425055
Delaware,resid,electricity,cooking,electric oven,2015,0.00855521115517811
Delaware,resid,electricity,clothes dryers,clothes dryer,2015,0.03250070186742732
Delaware,resid,electricity,computers,electricity,2015,0.027363764709087357
Delaware,resid,electricity,clothes washers,clothes washer,2015,0.00643376966938556
Delaware,resid,electricity,dishwashers,dishwasher,2015,0.004520885489625018
Delaware,resid,electricity,freezers,freezer,2015,0.013066381329225042
Delaware,resid,gas,heating,gas furnace,2015,0.8510849381608006
Delaware,resid,gas,hot water,gas water heater,2015,0.10767168010988377
Delaware,resid,gas,cooking,gas oven,2015,0.01510001867449949
Delaware,resid,gas,clothes dryers,clothes dryer,2015,0.004002124817858469
Delaware,resid,gas,other,gas,2015,0.022141238236957766
Delaware,resid,refined liquids,heating,fuel furnace,2015,0.8932090234999782
Delaware,resid,refined liquids,hot water,fuel water heater,2015,0.07347761229078166
Delaware,resid,refined liquids,other,refined liquids,2015,0.028016803949998233
Delaware,resid,refined liquids,cooking,lpg oven,2015,0.0052965602592419635
Delaware,resid,biomass,heating,wood furnace,2015,1
Delaware,comm,electricity,heating,electric heat pump,2015,0.02000903251440471
Delaware,comm,electricity,heating,electric furnace,2015,0.02899709798168527
Delaware,comm,electricity,cooling,air conditioning,2015,0.24729689756445633
Delaware,comm,electricity,hot water,electric heat pump water heater,2015,3.349514326287457e-4
Delaware,comm,electricity,hot water,electric resistance water heater,2015,0.0052806947517824694
Delaware,comm,electricity,ventilation,ventilation,2015,0.13464178096344664
Delaware,comm,electricity,cooking,electric range,2015,0.013472399624248989
Delaware,comm,electricity,lighting,incandescent,2015,0.01114844522446643
Delaware,comm,electricity,lighting,fluorescent,2015,0.1139183910098924
Delaware,comm,electricity,lighting,solid state,2015,0.01349042994075087
Delaware,comm,electricity,refrigeration,refrigeration,2015,0.14878918267196134
Delaware,comm,electricity,office,office equipment,2015,0.14403515712543366
Delaware,comm,electricity,other,electricity,2015,0.11858553919484216
Delaware,comm,gas,heating,gas furnace,2015,0.77766213171301
Delaware,comm,gas,cooling,gas cooling,2015,0.019529160172252324
Delaware,comm,gas,hot water,gas water heater,2015,0.14098441311082638
Delaware,comm,gas,cooking,gas range,2015,0.06182429500391129
Delaware,comm,refined liquids,heating,fuel furnace,2015,0.9786693035738564
Delaware,comm,refined liquids,hot water,fuel water heater,2015,0.021330696426143575
District of Columbia,resid,electricity,heating,electric furnace,2015,0.10529306072520729
District of Columbia,resid,electricity,heating,electric heat pump,2015,0.07585398219185131
District of Columbia,resid,electricity,cooling,air conditioning,2015,0.3105852335748836
District of Columbia,resid,electricity,furnace fans,electricity,2015,0.012475655439298154
District of Columbia,resid,electricity,other,electricity,2015,0.22574449578563177
District of Columbia,resid,electricity,lighting,fluorescent,2015,0.009958364067751859
District of Columbia,resid,electricity,lighting,solid state,2015,7.722292147247248e-4
District of Columbia,resid,electricity,lighting,incandescent,2015,0.04462696512366785
District of Columbia,resid,electricity,hot water,electric resistance water heater,2015,0.11005738639696092
District of Columbia,resid,electricity,refrigerators,refrigerator,2015,0.03812572906506717
District of Columbia,resid,electricity,cooking,electric oven,2015,0.007880193594751762
District of Columbia,resid,electricity,clothes dryers,clothes dryer,2015,0.02844726103555347
District of Columbia,resid,electricity,computers,electricity,2015,0.015427718951572111
District of Columbia,resid,electricity,clothes washers,clothes washer,2015,0.004550854174993506
District of Columbia,resid,electricity,dishwashers,dishwasher,2015,0.003176399017648993
District of Columbia,resid,electricity,freezers,freezer,2015,0.007024471640435413
District of Columbia,resid,gas,heating,gas furnace,2015,0.7674233543044029
District of Columbia,resid,gas,hot water,gas water heater,2015,0.15232198616269035
District of Columbia,resid,gas,cooking,gas oven,2015,0.016184623375635053
District of Columbia,resid,gas,clothes dryers,clothes dryer,2015,0.003290828816682296
District of Columbia,resid,gas,other,gas,2015,0.0607792073405894
District of Columbia,resid,refined liquids,heating,fuel furnace,2015,0.8356923090672249
District of Columbia,resid,refined liquids,hot water,fuel water heater,2015,0.07215760207500638
District of Columbia,resid,refined liquids,other,refined liquids,2015,0.08074905727452558
District of Columbia,resid,refined liquids,cooking,lpg oven,2015,0.011401031583243114
District of Columbia,resid,biomass,heating,wood furnace,2015,1
District of Columbia,comm,electricity,heating,electric heat pump,2015,0.01921217755844944
District of Columbia,comm,electricity,heating,electric furnace,2015,0.014206303911760693
District of Columbia,comm,electricity,cooling,air conditioning,2015,0.3557078709971328
District of Columbia,comm,electricity,hot water,electric heat pump water heater,2015,2.939681221290161e-4
District of Columbia,comm,electricity,hot water,electric resistance water heater,2015,0.007544572665238732
District of Columbia,comm,electricity,ventilation,ventilation,2015,0.09719674448433013
District of Columbia,comm,electricity,cooking,electric range,2015,0.016101929947954917
District of Columbia,comm,electricity,lighting,incandescent,2015,0.011680384159822763
District of Columbia,comm,electricity,lighting,fluorescent,2015,0.09827143624723332
District of Columbia,comm,electricity,lighting,solid state,2015,0.011001942774453913
District of Columbia,comm,electricity,refrigeration,refrigeration,2015,0.1462102343947348
District of Columbia,comm,electricity,office,office equipment,2015,0.1167389860499791
District of Columbia,comm,electricity,other,electricity,2015,0.10583344868678043
District of Columbia,comm,gas,heating,gas furnace,2015,0.6696722661603077
District of Columbia,comm,gas,cooling,gas cooling,2015,0.03577572922881457
District of Columbia,comm,gas,hot water,gas water heater,2015,0.17090525941134907
District of Columbia,comm,gas,cooking,gas range,2015,0.12364674519952856
District of Columbia,comm,refined liquids,heating,fuel furnace,2015,0.8955305682162679
District of Columbia,comm,refined liquids,hot water,fuel water heater,2015,0.104469431783732
Florida,resid,electricity,heating,electric furnace,2015,0.10588683544599126
Florida,resid,electricity,heating,electric heat pump,2015,0.0761800283055339
Florida,resid,electricity,cooling,air conditioning,2015,0.3097100094780684
Florida,resid,electricity,furnace fans,electricity,2015,0.01243446988321916
Florida,resid,electricity,other,electricity,2015,0.22560734571471067
Florida,resid,electricity,lighting,fluorescent,2015,0.009953464200107176
Florida,resid,electricity,lighting,solid state,2015,7.718577880775153e-4
Florida,resid,electricity,lighting,incandescent,2015,0.044605497816234935
Florida,resid,electricity,hot water,electric resistance water heater,2015,0.1102348129087972
Florida,resid,electricity,refrigerators,refrigerator,2015,0.03807605788266141
Florida,resid,electricity,cooking,electric oven,2015,0.007898600011020588
Florida,resid,electricity,clothes dryers,clothes dryer,2015,0.028479280861319407
Florida,resid,electricity,computers,electricity,2015,0.015381278334352672
Florida,resid,electricity,clothes washers,clothes washer,2015,0.0045463885804082034
Florida,resid,electricity,dishwashers,dishwasher,2015,0.0031688098285557018
Florida,resid,electricity,freezers,freezer,2015,0.007065262960941759
Florida,resid,gas,heating,gas furnace,2015,0.7742944593916492
Florida,resid,gas,hot water,gas water heater,2015,0.14775189273034
Florida,resid,gas,cooking,gas oven,2015,0.01597564273546052
Florida,resid,gas,clothes dryers,clothes dryer,2015,0.0031624144058225705
Florida,resid,gas,other,gas,2015,0.05881559073672775
Florida,resid,refined liquids,heating,fuel furnace,2015,0.6699505833023226
Florida,resid,refined liquids,hot water,fuel water heater,2015,0.12748068920329056
Florida,resid,refined liquids,other,refined liquids,2015,0.17165376022105472
Florida,resid,refined liquids,cooking,lpg oven,2015,0.030914967273331994
Florida,resid,biomass,heating,wood furnace,2015,1
Florida,comm,electricity,heating,electric heat pump,2015,0.019258626373193432
Florida,comm,electricity,heating,electric furnace,2015,0.014346464454574203
Florida,comm,electricity,cooling,air conditioning,2015,0.3551065962799135
Florida,comm,electricity,hot water,electric heat pump water heater,2015,2.927401354006784e-4
Florida,comm,electricity,hot water,electric resistance water heater,2015,0.007531886866583456
Florida,comm,electricity,ventilation,ventilation,2015,0.09727812966684836
Florida,comm,electricity,cooking,electric range,2015,0.016173356463095152
Florida,comm,electricity,lighting,incandescent,2015,0.011704618482003227
Florida,comm,electricity,lighting,fluorescent,2015,0.09838966471117724
Florida,comm,electricity,lighting,solid state,2015,0.01103208007636678
Florida,comm,electricity,refrigeration,refrigeration,2015,0.1461861641539859
Florida,comm,electricity,office,office equipment,2015,0.11675020980133699
Florida,comm,electricity,other,electricity,2015,0.10594946253552118
Florida,comm,gas,heating,gas furnace,2015,0.6716203200146468
Florida,comm,gas,cooling,gas cooling,2015,0.035312138606896054
Florida,comm,gas,hot water,gas water heater,2015,0.17052235946996652
Florida,comm,gas,cooking,gas range,2015,0.12254518190849076
